Run #, Au, Ao, P, E, Node_3_Disp_2, Node_2_Disp_2, 
1, 523.097, 268.813, 25.3341, 187.582, 8.0981, 9.89885, 
2, 499.562, 288.694, 23.8909, 209.934, 6.82363, 8.34098, 
3, 663.612, 231.6, 23.1222, 216.65, 6.39938, 7.8224, 
4, 506.024, 262.796, 25.8503, 207.053, 7.48602, 9.15067, 
5, 675.719, 337.479, 24.9536, 206.296, 7.25286, 8.86566, 
6, 459.53, 246.359, 23.0536, 200.063, 6.90937, 8.4458, 
7, 529.394, 289.63, 29.1479, 204.546, 8.54441, 10.4444, 
8, 492.966, 238.36, 24.3373, 215.885, 6.75952, 8.26262, 
9, 460.861, 292.948, 24.6046, 207.799, 7.0997, 8.67844, 
10, 803.437, 320.028, 29.0062, 216.011, 8.0516, 9.84202, 
11, 496.313, 142.91, 24.7177, 203.639, 7.27803, 8.89643, 
12, 438.019, 245.864, 26.5465, 215.643, 7.38142, 9.02281, 
13, 374.876, 263.495, 26.8006, 218.938, 7.33992, 8.97208, 
14, 337.12, 322.107, 24.9797, 213.171, 7.02632, 8.58875, 
15, 483.41, 368.533, 25.0226, 206.781, 7.25585, 8.86931, 
16, 448.584, 281.4, 25.5013, 211.017, 7.24622, 8.85755, 
17, 540.335, 312.381, 24.1253, 197.885, 7.31017, 8.93571, 
18, 450.289, 261.079, 23.6764, 179.823, 7.89475, 9.65029, 
19, 515.32, 276.554, 21.1772, 224.995, 5.64367, 6.89864, 
20, 428.013, 216.952, 28.2223, 214.22, 7.89949, 9.65608, 
21, 356.639, 172.744, 25.7978, 226.877, 6.81803, 8.33414, 
22, 462.403, 203.536, 28.0876, 207.383, 8.12099, 9.92683, 
23, 436.348, 259.738, 27.1316, 214.115, 7.59796, 9.2875, 
24, 303.996, 221.286, 26.2248, 183.431, 8.5725, 10.4787, 
25, 531.697, 196.963, 26.7462, 211.415, 7.58565, 9.27246, 
26, 485.057, 160.328, 24.387, 197.413, 7.40714, 9.05425, 
27, 365.951, 200.852, 23.8239, 192.884, 7.40598, 9.05283, 
28, 402.591, 254.487, 26.3042, 173.374, 9.09723, 11.1202, 
29, 451.909, 156.537, 27.3703, 188.097, 8.725, 10.6652, 
30, 443.463, 301.441, 23.3181, 219.022, 6.38369, 7.80322, 
31, 579.059, 188.683, 29.3039, 204.893, 8.57561, 10.4825, 
